日期,產品,數量,金額
2024-01-05,產品A,25,2500
2024-01-05,產品B,15,1500
2024-01-05,產品C,30,4500
2024-01-08,產品A,20,2000
2024-01-08,產品D,10,3000
2024-01-12,產品B,18,1800
2024-01-12,產品C,25,3750
2024-01-15,產品A,30,3000
2024-01-15,產品E,12,2400
2024-01-20,產品B,22,2200
2024-01-20,產品C,28,4200
2024-01-25,產品A,35,3500
2024-01-25,產品D,15,4500
2024-02-01,產品B,20,2000
2024-02-01,產品C,32,4800
2024-02-05,產品A,28,2800
2024-02-05,產品E,18,3600
2024-02-10,產品B,25,2500
2024-02-10,產品D,20,6000
2024-02-15,產品C,35,5250
2024-02-15,產品A,32,3200
2024-02-20,產品B,28,2800
2024-02-20,產品E,22,4400
2024-02-25,產品A,40,4000
2024-02-25,產品D,25,7500
2024-03-01,產品C,38,5700
2024-03-05,產品B,30,3000
2024-03-05,產品A,35,3500
2024-03-10,產品E,25,5000
2024-03-15,產品D,30,9000
